Retail Branding,Marketing Name,Device,Model,Supported ROMs
Motorola,Moto Z (2) Play,albus,XT1710-08,"AICP, Dot OS"
Motorola,Moto Z (2) Play,albus,XT1710-11,"AICP, Dot OS"
Motorola,Moto Z Droid,griffin,XT1650,AmyROM
Motorola,Motorola,lavender,MOTOROLA GOOGLE TV 4K,"AICP, AOSP Extended, Arrow OS, BeastROMs, Bliss ROMs, Carbon ROM, Colt OS, ConquerOS, CrDroid, Dot OS"
Motorola,Nexus 6,shamu,Nexus 6,"Carbon ROM, CrDroid"
Motorola,moto P30 NOTE,chef,XT1942-1,CrDroid
Motorola,moto X40,rtwo,XT2301-5,Derpfest
Motorola,moto e(5) plus,rhannah,Moto E,"AmyROM, CrDroid"
Motorola,moto e(5) plus,rhannah,moto e5 plus,"AmyROM, CrDroid"
Motorola,moto e5 plus,ahannah,Moto E,"AmyROM, CrDroid"
Motorola,moto e5 plus,ahannah,XT1924-9,"AmyROM, CrDroid"
Motorola,moto e5 plus,ahannah,moto e5 plus,"AmyROM, CrDroid"
Motorola,moto e5 plus,hannah,Moto E,"AmyROM, AOSP Extended"
Motorola,moto e5 plus,hannah,moto e5 plus,"AmyROM, AOSP Extended"
Motorola,moto e5 plus,hannah,moto e5 supra,"AmyROM, AOSP Extended"
Motorola,moto e5 plus,rhannah,Moto E,"AmyROM, CrDroid"
Motorola,moto e5 plus,rhannah,moto e5 plus,"AmyROM, CrDroid"
Motorola,moto g 5G,kiev,moto g 5G,CrDroid
Motorola,moto g 5G,kiev,motorola edge,CrDroid
Motorola,moto g(100),nio,moto g(100),CrDroid
Motorola,moto g(6),ali,XT1925-10,CrDroid
Motorola,moto g(6),ali,moto g(6),CrDroid
Motorola,moto g(6),ali,moto g(6) (XT1925DL),CrDroid
Motorola,moto g(6) plus,evert,moto g(6) plus,"CrDroid, Derpfest"
Motorola,moto g(60),hanoip,moto g(60),CrDroid
Motorola,moto g(7),river,moto g(6),"AICP, AOSP Extended, CrDroid, Derpfest"
Motorola,moto g(7),river,moto g(7),"AICP, AOSP Extended, CrDroid, Derpfest"
Motorola,moto g(7) optimo (XT1952DL),channel,moto g(7) optimo (XT1952DL),"AmyROM, Bliss ROMs, CrDroid"
Motorola,moto g(7) optimo maxx(XT1955DL),ocean,moto g(7) optimo maxx(XT1955DL),"AICP, CrDroid, Derpfest, Dot OS"
Motorola,moto g(7) play,channel,moto g(6),"AmyROM, Bliss ROMs, CrDroid"
Motorola,moto g(7) play,channel,moto g(7) play,"AmyROM, Bliss ROMs, CrDroid"
Motorola,moto g(7) plus,lake,XT1965-6,"CrDroid, Derpfest"
Motorola,moto g(7) power,ocean,moto g(6) play,"AICP, CrDroid, Derpfest, Dot OS"
Motorola,moto g(7) power,ocean,moto g(7) power,"AICP, CrDroid, Derpfest, Dot OS"
Motorola,moto g(7) supra,ocean,moto g(7) supra,"AICP, CrDroid, Derpfest, Dot OS"
Motorola,moto g32,devon,moto g(100),"Ancient OS, CalyxOS, CrDroid, DroidX-UI"
Motorola,moto g32,devon,moto g32,"Ancient OS, CalyxOS, CrDroid, DroidX-UI"
Motorola,moto g40 fusion,hanoip,moto g(40) fusion,CrDroid
Motorola,moto g42,hawao,moto g(100),"Ancient OS, CalyxOS, CrDroid"
Motorola,moto g42,hawao,moto g42,"Ancient OS, CalyxOS, CrDroid"
Motorola,moto g51,cypfq,XT2171-3,CrDroid
Motorola,moto g51,cypfq,moto[SPACE]g(50),CrDroid
Motorola,moto g51 5G,cypfq,moto g(50),CrDroid
Motorola,moto g51 5G,cypfq,moto g51 5G,CrDroid
Motorola,moto g52,rhode,moto g(50),"Ancient OS, CalyxOS, CrDroid"
Motorola,moto g52,rhode,moto g52,"Ancient OS, CalyxOS, CrDroid"
Motorola,moto p30 play,deen,XT1941-2,CrDroid
Motorola,moto z3 play,beckham,Moto Z3 Play,"AICP, CrDroid, Derpfest"
Motorola,motorola edge 20,berlin,motorola edge 20,CrDroid
Motorola,motorola edge 20,berlin,motorola edge plus,CrDroid
Motorola,motorola edge 20 pro,pstar,moto g(100),"CrDroid, Derpfest"
